asset_a,asset_b,n_obs,direction,hedge_ratio,intercept,adf_stat,adf_p,engle_granger_p,adf_q,cointegrated_after_fdr
CRV,WLD,4620,log(CRV) ~ log(WLD),0.14583911975148212,-1.5351527998566308,-2.1935871552676733,0.20858117731239656,0.41663224656068754,0.3352630101202697,False
OP,UNI,4620,log(UNI) ~ log(OP),0.5785826913010244,2.3970409749150186,-2.1900730992064497,0.20986805708766948,0.4233333457389784,0.3352630101202697,False
ADA,SUI,4620,log(SUI) ~ log(ADA),0.949191809901335,1.4625708268505435,-2.1789652834787896,0.213968222044844,0.43325619681435634,0.3352630101202697,False
ARB,DOGE,4620,log(DOGE) ~ log(ARB),-0.11464466531942591,-2.905031712756969,-2.176698478069259,0.21481098674039417,0.4364213604996219,0.3352630101202697,False
ENA,WLD,4620,log(ENA) ~ log(WLD),0.35808291411827753,-2.2675029903841395,-2.1710099211595058,0.216934888901351,0.4391169863455456,0.3352630101202697,False
ETH,SUI,4620,log(ETH) ~ log(SUI),0.4518282813045804,7.5318281982559405,-2.1567188133975526,0.222327159398635,0.4436247811758012,0.3397358840248805,False
ADA,LDO,4620,log(LDO) ~ log(ADA),0.40604892925589553,-0.6109728499316738,-2.1136527079812937,0.23906033482443906,0.4689402181636078,0.3612467281791524,False
AVAX,SOL,4620,log(AVAX) ~ log(SOL),0.7427496732358447,-1.3085748961288033,-2.0989084147855044,0.24495375989633855,0.4751264183213542,0.3636859454680714,False
ARB,SUI,4620,log(ARB) ~ log(SUI),0.6995597522216217,-2.3368841773707416,-2.091824779362098,0.2478145802250999,0.4806048963857941,0.3636859454680714,False
ADA,ETH,4620,log(ETH) ~ log(ADA),0.42595126439402264,8.18703037377206,-2.083799318491475,0.2510786759446417,0.48412284211627377,0.3636859454680714,False
AVAX,SUI,4620,log(AVAX) ~ log(SUI),0.9382034275310351,2.2169760119260333,-2.083083061395072,0.251371168191167,0.48504614326535245,0.3636859454680714,False
AAVE,XRP,4620,log(XRP) ~ log(AAVE),0.15509121384654873,-0.6522575591672835,-2.0756408934852293,0.25442163969906595,0.4836775224456971,0.36422466314813656,False
UNI,WLD,4620,log(UNI) ~ log(WLD),0.26127618882102954,1.2856337938228584,-2.0674140508633116,0.2578177748327548,0.48592989393277936,0.36524184767973594,False
AVAX,DOGE,4620,log(DOGE) ~ log(AVAX),0.007088311632061917,-2.6209739822221314,-2.0490571068908867,0.2654858013033361,0.5030792137413078,0.37222751522941966,False
ARB,OP,4620,log(OP) ~ log(ARB),0.07631300185397161,-2.09342686076857,-2.0278850679483362,0.2744818674794822,0.5142274025922006,0.3809136120123427,False
ETH,WLD,4620,log(ETH) ~ log(WLD),-0.019665105915947834,7.349945051489428,-2.0090555409061395,0.28261672972008267,0.5184081181140758,0.3827675288888641,False
AVAX,OP,4620,log(OP) ~ log(AVAX),0.10183792700056093,-2.48206778306087,-2.0048768164939874,0.28443888752708113,0.5262063504376604,0.3827675288888641,False
DOGE,WLD,4620,log(DOGE) ~ log(WLD),0.3834850108371679,-2.293124794756171,-1.9988953075577327,0.2870576782764741,0.5252864667938626,0.3827675288888641,False
DOGE,OP,4620,log(DOGE) ~ log(OP),0.6181025756280221,-1.1914122509783027,-1.9988543635027514,0.2870756466666481,0.5285584672636391,0.3827675288888641,False
AAVE,CRV,4620,log(CRV) ~ log(AAVE),0.24102812411487307,-2.74494263797704,-1.9662362110032543,0.30157067115086406,0.5349458148571034,0.3981505208208268,False
ADA,ARB,4620,log(ARB) ~ log(ADA),0.4976234854257484,-1.6344245985259462,-1.9598101735097901,0.3044680453335734,0.5493093908788093,0.3981505208208268,False
AAVE,ARB,4620,log(ARB) ~ log(AAVE),0.009322833439707523,-2.6356821580487377,-1.936846412929689,0.314930778814802,0.5607920100940627,0.407910342083934,False
SOL,WIF,4620,log(WIF) ~ log(SOL),0.9308812375985234,-5.751748156300209,-1.8955175739201373,0.33417271480841854,0.5827141742318122,0.4287498982447634,False
SOL,SUI,4620,log(SUI) ~ log(SOL),0.3777158438335786,-1.9846938686931885,-1.8685775663351198,0.3469844782946337,0.5953679887567506,0.441027000449254,False
DOGE,ENA,4620,log(ENA) ~ log(DOGE),1.0736151312798512,0.23842534450808728,-1.8594152487738191,0.35138755248623343,0.6001887016103438,0.4424880290567384,False
ADA,BTC,4620,log(BTC) ~ log(ADA),0.42464890464976435,11.818960482378486,-1.8367254729977505,0.3623868963308793,0.610444483560458,0.4521524578073356,False
AAVE,UNI,4620,log(UNI) ~ log(AAVE),0.44888010899726005,-0.9589530423177948,-1.8227100425731233,0.36924649259794984,0.6127955618420948,0.4565229363029198,False
BTC,ETH,4620,log(BTC) ~ log(ETH),0.5164938765584424,7.195983252899623,-1.8139690032422873,0.3735488561315885,0.6227295906406282,0.45768148138645076,False
ENA,SOL,4620,log(ENA) ~ log(SOL),0.1142777740309775,-3.0507187094932817,-1.7191313432257314,0.42128336454464976,0.6675787090856677,0.511558371232789,False
ADA,AVAX,4620,log(AVAX) ~ log(ADA),0.6800548986626449,3.1834977183361737,-1.6855241950931843,0.43858585568760067,0.6833039652107307,0.5278555431284397,False
AVAX,ENA,4620,log(AVAX) ~ log(ENA),0.1853118296073557,2.347427056710167,-1.6295010388041076,0.46775190033169756,0.7065037082262842,0.5580198109220251,False
CRV,OP,4620,log(CRV) ~ log(OP),0.29925317891823866,-0.969092662933015,-1.5517780187917907,0.5077599320420207,0.73059678236343,0.6004813109366506,False
AAVE,AVAX,4620,log(AVAX) ~ log(AAVE),0.10610944148072932,1.392871639539301,-1.506879673297837,0.5301053591953391,0.7570130182768409,0.6195218346508581,False
ETH,WIF,4620,log(WIF) ~ log(ETH),1.8282092043179645,-15.231290583727898,-1.5010921677753641,0.532970990104047,0.7597254702819927,0.6195218346508581,False
ARB,ENA,4620,log(ARB) ~ log(ENA),0.1529413662997854,-2.201795967389998,-1.4658228949267755,0.5503454699449101,0.7718190762896234,0.6342964738348116,False
CRV,ENA,4620,log(CRV) ~ log(ENA),0.2278219162400994,-1.0712786314123761,-1.3711285414029055,0.5960365509352153,0.8013002979228135,0.6811846296402461,False
ETH,OP,4620,log(ETH) ~ log(OP),0.058852147085808326,7.50092703297986,-1.314316003439186,0.6225975405046447,0.821027829380432,0.7026051858627799,False
ETH,LDO,4620,log(LDO) ~ log(ETH),0.9845858621692178,-8.646102890872143,-1.3088539102955103,0.6251119668337968,0.8257544408970441,0.7026051858627799,False
ADA,SOL,4620,log(ADA) ~ log(SOL),0.20375621814520173,-2.8000789280968092,-1.2335557160797141,0.6589969433560292,0.8452695382498943,0.7346195434132784,False
DOGE,ETH,4620,log(ETH) ~ log(DOGE),0.11523882747462721,7.666584587282813,-1.1833080307555333,0.680734645993559,0.8586826372531737,0.7467105500618999,False
AAVE,ETH,4620,log(ETH) ~ log(AAVE),0.05948821252467695,7.097014373457057,-1.1830970949098047,0.6808243250564381,0.8583915031949182,0.7467105500618999,False
ADA,UNI,4620,log(UNI) ~ log(ADA),0.8322535691067827,2.6753455969056246,-1.0598670438122708,0.7308083623979559,0.8854560161571268,0.795119498288976,False
ENA,ETH,4620,log(ETH) ~ log(ENA),0.09029451404106226,7.597342311579666,-1.0301268740935363,0.7421182685929328,0.8937951229971418,0.8010165438780862,False
SUI,WLD,4620,log(SUI) ~ log(WLD),0.08718880873168455,-0.29532555004917893,-0.8289497096525223,0.810470072316952,0.9291636836437211,0.8679049593315391,False
AAVE,SUI,4620,log(SUI) ~ log(AAVE),0.19461772707726244,-1.2470925452510002,-0.5152623410006487,0.8890035839426964,0.9621889751149798,0.9445663079391149,False
DOGE,SUI,4620,log(SUI) ~ log(DOGE),0.37492919529910074,0.6108556277977861,-0.41408871920258433,0.9077197569207224,0.9691729102271337,0.9541461624996976,False
ENA,SUI,4620,log(SUI) ~ log(ENA),0.1901141334535903,0.12008101779019231,-0.38819335670652616,0.9120514788600051,0.9707297415125069,0.9541461624996976,False
OP,SUI,4620,log(SUI) ~ log(OP),0.24642264426984095,0.19779263443983552,-0.32309605853029344,0.9221689449743721,0.9740613210685113,0.9573662329504932,False
ADA,WLD,4620,log(ADA) ~ log(WLD),0.13750710641670416,-1.814544869605057,0.013176340534867135,0.9596082897652076,0.9852405982490545,0.9886873288490018,False
ADA,ENA,4620,log(ADA) ~ log(ENA),0.19996569323088487,-1.4151823850184755,0.5426326124008573,0.9861128694400894,0.992689576437788,0.9958678747667763,False
AAVE,ADA,4620,log(ADA) ~ log(AAVE),0.2369244631225964,-2.9989392840694222,0.7736461974110777,0.9911986357550232,0.9936898454159604,0.9958678747667763,False
ADA,OP,4620,log(ADA) ~ log(OP),0.2945337254956151,-1.252463850475408,0.9883581468797659,0.9941415820246551,1.0,0.9958678747667763,False
ADA,DOGE,4620,log(ADA) ~ log(DOGE),0.46642747472285606,-0.7110400099281904,1.1832201176993704,0.9958678747667763,1.0,0.9958678747667763,False
