asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
ARB,DOGE,4620,0.724369351424919,0.0,0.0,True,positive,-0.06893417598144573,0.18931574181125155,0.2944122305827126,True,5.318158874091132,,,2.0108475214165136,1.9520459250907833
OP,SOL,4620,0.5936563055347719,0.0,0.0,True,positive,-0.22840039395779016,0.1905020315535199,0.2944122305827126,True,8.179202759163589,,,2.7611167885624375,-0.09703758292168882
ETH,SUI,4620,0.7557163806751778,0.0,0.0,True,positive,0.9761281481636433,0.20962353661221123,0.32032360650854746,True,4.848503189428562,,,-3.5170734452612096,-1.0757369300956836
OP,UNI,4620,0.561472679252381,0.0,0.0,True,positive,0.5774825900845741,0.21340093203663124,0.32247251952202055,True,1.7816225014806448,,,3.544323523200755,6.172394426506236
ADA,LDO,4620,0.6968934734501898,0.0,0.0,True,positive,0.40619320910862355,0.22352368088769003,0.33405736923874557,True,3.251474117456761,,,1.8732109366336633,0.1265224768893916
AVAX,SUI,4620,0.678882791471604,0.0,0.0,True,positive,0.9373022534513178,0.23197505749558361,0.34291965021086274,True,6.174111920171758,,,-1.9934934872388697,-0.9559441103953804
ENA,WLD,4620,0.1312600102380987,3.3006024890572843e-19,3.3006024890572843e-19,True,positive,0.3578316379455114,0.2359269064083287,0.3450113900164807,True,5.992472227998039,,,2.3225551613468136,0.8393476205506317
ARB,SUI,4620,0.6881313033674537,0.0,0.0,True,positive,0.6992107039746408,0.24587161548142733,0.35572914580291615,True,5.354811945807199,,,-1.5242101746149186,-0.4763064911846219
AAVE,ARB,4620,0.46744537045125334,1.46556099190987e-249,1.9351096592207993e-249,True,positive,0.008842186631627832,0.25951344199714255,0.36764404282928526,True,6.06755209325837,,,1.9479612180139185,1.9025792452451256
AVAX,DOGE,4620,0.6998283841679787,0.0,0.0,True,positive,0.0071364856668633195,0.2655603570957167,0.37233204706203576,True,9.402822911172425,,,2.627183267543851,0.28858992728434096
SOL,SUI,4620,0.7905743765439155,0.0,0.0,True,positive,0.37871037820658093,0.26853714987229266,0.3726637998227735,True,6.738425000877782,,,2.2831435044098654,1.2953772835614874
